date,fund,asset_class,currency,type,amount,local_amount
2019-02-19,지리 미드캡 5호,사모벤처,KRW,집행,6,6
2019-03-06,판교 코어플러스 2호,부동산,USD,집행,11,0.9
2019-03-09,설악 바이아웃 1호,사모벤처,USD,집행,15,1.2
2019-03-15,서해 에너지 1호,인프라,EUR,집행,5,0.4
2019-03-17,해운대 물류 1호,부동산,KRW,집행,10,10
2019-03-19,송도 리츠 3호,부동산,KRW,약정,160,160
2019-03-24,백두 벤처 3호,사모벤처,KRW,집행,7,7
2019-04-10,판교 코어플러스 2호,부동산,USD,집행,11,0.9
2019-04-11,설악 바이아웃 1호,사모벤처,USD,집행,5,0.4
2019-04-16,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,11,11
2019-04-17,지리 미드캡 5호,사모벤처,KRW,집행,12,12
2019-04-24,한라 메자닌 4호,사모벤처,USD,집행,12,1.0
2019-04-27,백두 벤처 3호,사모벤처,KRW,집행,5,5
2019-05-11,지리 미드캡 5호,사모벤처,KRW,집행,7,7
2019-05-14,해운대 물류 1호,부동산,KRW,집행,5,5
2019-05-19,태백 세컨더리 2호,사모벤처,KRW,집행,24,24
2019-05-20,한강 그로스 7호,사모벤처,KRW,약정,280,280
2019-05-21,영남 교통 2호,인프라,USD,집행,13,1.0
2019-05-24,호남 데이터센터 3호,인프라,USD,약정,80,6.4
2019-06-03,판교 코어플러스 2호,부동산,USD,집행,17,1.3
2019-06-05,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,8,8
2019-06-06,송도 리츠 3호,부동산,KRW,집행,22,22
2019-06-07,지리 미드캡 5호,사모벤처,KRW,집행,8,8
2019-06-08,한강 그로스 7호,사모벤처,KRW,집행,8,8
2019-06-10,한라 메자닌 4호,사모벤처,USD,집행,13,1.0
2019-06-19,태백 세컨더리 2호,사모벤처,KRW,집행,6,6
2019-07-06,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,6,6
2019-07-08,설악 바이아웃 8호,사모벤처,EUR,약정,260,20.3
2019-07-08,송도 리츠 3호,부동산,KRW,집행,5,5
2019-07-11,설악 바이아웃 1호,사모벤처,USD,집행,9,0.7
2019-07-17,한강 그로스 7호,사모벤처,KRW,집행,8,8
2019-07-20,남산 오피스 4호,부동산,KRW,약정,130,130
2019-07-21,한라 메자닌 4호,사모벤처,USD,집행,5,0.4
2019-07-22,지리 미드캡 5호,사모벤처,KRW,집행,8,8
2019-07-22,판교 코어플러스 2호,부동산,USD,집행,10,0.8
2019-08-03,서해 에너지 1호,인프라,EUR,집행,5,0.4
2019-08-05,백두 벤처 3호,사모벤처,KRW,집행,16,16
2019-08-08,한라 메자닌 4호,사모벤처,USD,집행,7,0.5
2019-08-09,동해 신재생 4호,인프라,USD,약정,120,9.3
2019-08-09,설악 바이아웃 1호,사모벤처,USD,집행,5,0.4
2019-08-14,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2019-08-17,한강 그로스 7호,사모벤처,KRW,집행,6,6
2019-08-21,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,7,7
2019-08-25,송도 리츠 3호,부동산,KRW,집행,9,9
2019-08-26,해운대 물류 1호,부동산,KRW,집행,18,18
2019-08-27,판교 코어플러스 2호,부동산,USD,집행,5,0.4
2019-09-03,남산 오피스 4호,부동산,KRW,집행,13,13
2019-09-03,태백 세컨더리 2호,사모벤처,KRW,집행,16,16
2019-09-07,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2019-09-17,백두 벤처 3호,사모벤처,KRW,집행,6,6
2019-09-21,해운대 물류 1호,부동산,KRW,분배,3,3
2019-09-22,해운대 물류 1호,부동산,KRW,집행,7,7
2019-09-24,설악 바이아웃 1호,사모벤처,USD,집행,5,0.4
2019-09-24,한라 메자닌 4호,사모벤처,USD,집행,5,0.4
2019-09-26,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,6,6
2019-10-07,백두 벤처 3호,사모벤처,KRW,집행,6,6
2019-10-12,태백 세컨더리 2호,사모벤처,KRW,집행,5,5
2019-10-15,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2019-10-21,판교 코어플러스 2호,부동산,USD,집행,11,0.8
2019-11-03,백두 벤처 3호,사모벤처,KRW,집행,7,7
2019-11-05,판교 코어플러스 2호,부동산,USD,집행,6,0.5
2019-11-09,설악 바이아웃 8호,사모벤처,EUR,집행,28,2.2
2019-11-10,판교 코어플러스 2호,부동산,USD,분배,3,0.2
2019-11-11,한라 메자닌 4호,사모벤처,USD,집행,13,1.0
2019-11-11,해운대 물류 1호,부동산,KRW,집행,14,14
2019-11-15,영남 교통 2호,인프라,USD,집행,7,0.5
2019-11-24,서해 에너지 5호,인프라,USD,약정,100,7.8
2019-12-06,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,17,17
2019-12-08,서해 에너지 1호,인프라,EUR,집행,8,0.6
2019-12-11,설악 바이아웃 8호,사모벤처,EUR,집행,5,0.4
2019-12-11,한라 메자닌 4호,사모벤처,USD,집행,7,0.6
2019-12-15,해운대 물류 1호,부동산,KRW,집행,7,7
2019-12-16,남산 오피스 4호,부동산,KRW,집행,20,20
2019-12-18,해운대 물류 1호,부동산,KRW,분배,3,3
2019-12-19,지리 미드캡 5호,사모벤처,KRW,집행,13,13
2019-12-21,해운대 물류 5호,부동산,KRW,약정,100,100
2019-12-22,백두 벤처 3호,사모벤처,KRW,집행,6,6
2020-01-08,영남 교통 6호,인프라,USD,약정,180,14.1
2020-01-08,한강 그로스 7호,사모벤처,KRW,집행,33,33
2020-01-13,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,7,7
2020-01-14,백두 벤처 3호,사모벤처,KRW,집행,6,6
2020-01-23,설악 바이아웃 8호,사모벤처,EUR,집행,8,0.6
2020-01-23,지리 미드캡 5호,사모벤처,KRW,집행,7,7
2020-01-24,태백 세컨더리 2호,사모벤처,KRW,집행,15,15
2020-01-26,서해 에너지 1호,인프라,EUR,집행,5,0.4
2020-02-05,태백 세컨더리 2호,사모벤처,KRW,집행,6,6
2020-02-06,서해 에너지 5호,인프라,USD,집행,5,0.4
2020-02-07,판교 코어플러스 6호,부동산,KRW,약정,150,150
2020-02-10,백두 벤처 3호,사모벤처,KRW,집행,7,7
2020-02-13,한라 메자닌 4호,사모벤처,USD,집행,13,1.0
2020-02-14,해운대 물류 5호,부동산,KRW,집행,9,9
2020-02-15,판교 코어플러스 2호,부동산,USD,집행,15,1.2
2020-02-18,남산 오피스 4호,부동산,KRW,집행,14,14
2020-02-21,한강 그로스 7호,사모벤처,KRW,집행,6,6
2020-02-24,태백 세컨더리 9호,사모벤처,KRW,약정,320,320
2020-02-24,해운대 물류 1호,부동산,KRW,집행,15,15
2020-03-06,판교 코어플러스 6호,부동산,KRW,집행,8,8
2020-03-09,해운대 물류 5호,부동산,KRW,집행,5,5
2020-03-12,판교 코어플러스 2호,부동산,USD,분배,3,0.2
2020-03-12,판교 코어플러스 2호,부동산,USD,집행,5,0.4
2020-03-16,영남 교통 2호,인프라,USD,집행,14,1.1
2020-03-17,서해 에너지 1호,인프라,EUR,집행,8,0.6
2020-03-17,지리 미드캡 5호,사모벤처,KRW,집행,11,11
2020-03-19,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,7,7
2020-03-25,설악 바이아웃 1호,사모벤처,USD,집행,8,0.6
2020-03-25,한라 메자닌 4호,사모벤처,USD,집행,6,0.5
2020-03-26,송도 리츠 7호,부동산,KRW,약정,120,120
2020-03-27,해운대 물류 1호,부동산,KRW,분배,3,3
2020-04-03,한강 그로스 7호,사모벤처,KRW,집행,15,15
2020-04-05,한라 메자닌 4호,사모벤처,USD,집행,8,0.6
2020-04-05,해운대 물류 5호,부동산,KRW,집행,5,5
2020-04-10,송도 리츠 3호,부동산,KRW,집행,55,55
2020-04-11,태백 세컨더리 2호,사모벤처,KRW,집행,7,7
2020-04-15,태백 세컨더리 9호,사모벤처,KRW,집행,17,17
2020-04-17,백두 벤처 3호,사모벤처,KRW,집행,11,11
2020-04-22,백두 벤처 10호,사모벤처,KRW,약정,420,420
2020-04-23,남산 오피스 8호,부동산,EUR,약정,180,14.0
2020-04-26,남산 오피스 4호,부동산,KRW,집행,5,5
2020-05-03,한라 메자닌 11호,사모벤처,KRW,약정,410,410
2020-05-03,해운대 물류 1호,부동산,KRW,집행,9,9
2020-05-04,지리 미드캡 5호,사모벤처,KRW,집행,14,14
2020-05-08,해운대 물류 1호,부동산,KRW,분배,4,4
2020-05-10,송도 리츠 7호,부동산,KRW,집행,7,7
2020-05-11,남산 오피스 4호,부동산,KRW,집행,6,6
2020-05-24,송도 리츠 3호,부동산,KRW,집행,6,6
2020-05-25,판교 코어플러스 2호,부동산,USD,분배,3,0.2
2020-05-26,동해 신재생 4호,인프라,USD,집행,8,0.6
2020-05-27,판교 코어플러스 6호,부동산,KRW,집행,15,15
2020-06-04,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,17,17
2020-06-05,지리 미드캡 5호,사모벤처,KRW,집행,6,6
2020-06-05,한라 메자닌 4호,사모벤처,USD,집행,5,0.4
2020-06-09,해운대 물류 5호,부동산,KRW,집행,5,5
2020-06-10,백두 벤처 10호,사모벤처,KRW,집행,18,18
2020-06-14,설악 바이아웃 8호,사모벤처,EUR,집행,32,2.5
2020-06-16,태백 세컨더리 9호,사모벤처,KRW,집행,19,19
2020-06-21,남산 오피스 8호,부동산,EUR,집행,15,1.2
2020-06-23,판교 코어플러스 6호,부동산,KRW,집행,8,8
2020-06-25,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2020-07-06,서해 에너지 1호,인프라,EUR,집행,5,0.4
2020-07-07,영남 교통 2호,인프라,USD,집행,7,0.5
2020-07-09,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,7,7
2020-07-12,태백 세컨더리 2호,사모벤처,KRW,집행,5,5
2020-07-14,남산 오피스 8호,부동산,EUR,집행,9,0.7
2020-07-15,백두 벤처 3호,사모벤처,KRW,집행,21,21
2020-07-18,판교 코어플러스 6호,부동산,KRW,집행,9,9
2020-07-18,한강 그로스 7호,사모벤처,KRW,집행,23,23
2020-07-20,백두 벤처 10호,사모벤처,KRW,집행,10,10
2020-07-23,남산 오피스 4호,부동산,KRW,집행,11,11
2020-07-24,설악 바이아웃 1호,사모벤처,USD,집행,5,0.4
2020-07-25,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2020-07-27,해운대 물류 1호,부동산,KRW,분배,4,4
2020-08-06,남산 오피스 8호,부동산,EUR,집행,7,0.5
2020-08-06,송도 리츠 3호,부동산,KRW,집행,6,6
2020-08-11,송도 리츠 7호,부동산,KRW,집행,16,16
2020-08-11,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2020-08-12,해운대 물류 5호,부동산,KRW,집행,10,10
2020-08-15,영남 교통 6호,인프라,USD,집행,21,1.5
2020-08-18,백두 벤처 3호,사모벤처,KRW,집행,5,5
2020-08-18,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,6,6
2020-08-19,한라 메자닌 11호,사모벤처,KRW,집행,19,19
2020-08-21,남산 오피스 4호,부동산,KRW,집행,5,5
2020-08-21,설악 바이아웃 8호,사모벤처,EUR,집행,10,0.8
2020-08-25,판교 코어플러스 6호,부동산,KRW,집행,7,7
2020-09-04,한라 메자닌 4호,사모벤처,USD,집행,19,1.4
2020-09-06,태백 세컨더리 9호,사모벤처,KRW,집행,7,7
2020-09-09,영남 교통 6호,인프라,USD,집행,5,0.4
2020-09-09,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,5,5
2020-09-13,백두 벤처 10호,사모벤처,KRW,집행,21,21
2020-09-14,한라 메자닌 11호,사모벤처,KRW,집행,13,13
2020-09-16,판교 코어플러스 2호,부동산,USD,집행,29,2.2
2020-09-17,남산 오피스 8호,부동산,EUR,집행,6,0.5
2020-09-18,송도 리츠 7호,부동산,KRW,집행,6,6
2020-09-18,호남 데이터센터 3호,인프라,USD,집행,6,0.4
2020-09-19,서해 에너지 1호,인프라,EUR,집행,8,0.6
2020-09-19,설악 바이아웃 8호,사모벤처,EUR,집행,7,0.5
2020-09-24,판교 코어플러스 6호,부동산,KRW,집행,6,6
2020-09-26,태백 세컨더리 2호,사모벤처,KRW,분배,4,4
2020-09-26,호남 데이터센터 7호,인프라,USD,약정,170,12.6
2020-10-03,설악 바이아웃 1호,사모벤처,USD,집행,9,0.7
2020-10-05,판교 코어플러스 6호,부동산,KRW,집행,7,7
2020-10-05,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2020-10-07,지리 미드캡 5호,사모벤처,KRW,집행,22,22
2020-10-08,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2020-10-12,백두 벤처 3호,사모벤처,KRW,집행,9,9
2020-10-12,해운대 물류 5호,부동산,KRW,집행,9,9
2020-10-13,태백 세컨더리 2호,사모벤처,KRW,분배,3,3
2020-10-14,태백 세컨더리 9호,사모벤처,KRW,집행,6,6
2020-10-15,설악 바이아웃 8호,사모벤처,EUR,집행,6,0.5
2020-10-16,한강 그로스 7호,사모벤처,KRW,집행,23,23
2020-10-20,남산 오피스 4호,부동산,KRW,집행,8,8
2020-10-25,서해 에너지 1호,인프라,EUR,분배,3,0.2
2020-10-25,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,7,7
2020-10-26,호남 데이터센터 7호,인프라,USD,집행,5,0.4
2020-11-08,설악 바이아웃 8호,사모벤처,EUR,집행,7,0.5
2020-11-10,태백 세컨더리 9호,사모벤처,KRW,집행,10,10
2020-11-11,남산 오피스 8호,부동산,EUR,집행,19,1.4
2020-11-16,지리 미드캡 5호,사모벤처,KRW,집행,7,7
2020-11-16,한강 그로스 7호,사모벤처,KRW,집행,9,9
2020-11-19,백두 벤처 10호,사모벤처,KRW,집행,24,24
2020-11-19,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,5,5
2020-11-21,해운대 물류 1호,부동산,KRW,분배,3,3
2020-11-24,태백 세컨더리 2호,사모벤처,KRW,분배,10,10
2020-11-27,송도 리츠 3호,부동산,KRW,집행,14,14
2020-12-09,해운대 물류 5호,부동산,KRW,집행,6,6
2020-12-14,송도 리츠 3호,부동산,KRW,집행,5,5
2020-12-14,한강 그로스 7호,사모벤처,KRW,집행,7,7
2020-12-16,남산 오피스 8호,부동산,EUR,집행,7,0.5
2020-12-16,동해 신재생 4호,인프라,USD,집행,13,1.0
2020-12-18,영남 교통 6호,인프라,USD,집행,11,0.8
2020-12-21,판교 코어플러스 6호,부동산,KRW,집행,11,11
2020-12-21,한라 메자닌 4호,사모벤처,USD,집행,16,1.2
2020-12-22,송도 리츠 7호,부동산,KRW,집행,15,15
2020-12-24,백두 벤처 10호,사모벤처,KRW,집행,9,9
2020-12-25,백두 벤처 3호,사모벤처,KRW,집행,8,8
2020-12-25,태백 세컨더리 9호,사모벤처,KRW,집행,9,9
2020-12-27,호남 데이터센터 7호,인프라,USD,집행,9,0.7
2021-01-04,백두 벤처 10호,사모벤처,KRW,집행,13,13
2021-01-05,서해 에너지 1호,인프라,EUR,집행,10,0.7
2021-01-05,지리 미드캡 5호,사모벤처,KRW,집행,11,11
2021-01-05,판교 코어플러스 2호,부동산,USD,집행,5,0.4
2021-01-09,한라 메자닌 11호,사모벤처,KRW,집행,33,33
2021-01-14,설악 바이아웃 1호,사모벤처,USD,집행,5,0.4
2021-01-15,해운대 물류 1호,부동산,KRW,집행,5,5
2021-01-18,태백 세컨더리 2호,사모벤처,KRW,집행,12,12
2021-01-18,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2021-01-21,해운대 물류 1호,부동산,KRW,분배,3,3
2021-01-26,남산 오피스 8호,부동산,EUR,집행,10,0.7
2021-02-04,서해 에너지 1호,인프라,EUR,분배,3,0.2
2021-02-05,한라 메자닌 11호,사모벤처,KRW,집행,12,12
2021-02-05,한라 메자닌 4호,사모벤처,USD,집행,8,0.6
2021-02-08,남산 오피스 4호,부동산,KRW,집행,9,9
2021-02-09,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2021-02-10,서해 에너지 5호,인프라,USD,집행,11,0.8
2021-02-16,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2021-02-16,판교 코어플러스 6호,부동산,KRW,집행,13,13
2021-02-17,설악 바이아웃 8호,사모벤처,EUR,집행,21,1.5
2021-02-18,해운대 물류 9호,부동산,KRW,약정,230,230
2021-02-18,남산 오피스 8호,부동산,EUR,집행,9,0.7
2021-02-23,해운대 물류 1호,부동산,KRW,분배,4,4
2021-02-26,호남 데이터센터 7호,인프라,USD,집행,9,0.7
2021-03-05,서해 에너지 1호,인프라,EUR,집행,7,0.5
2021-03-05,해운대 물류 5호,부동산,KRW,집행,6,6
2021-03-09,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,23,23
2021-03-12,백두 벤처 3호,사모벤처,KRW,분배,8,8
2021-03-15,설악 바이아웃 8호,사모벤처,EUR,집행,7,0.5
2021-03-18,해운대 물류 9호,부동산,KRW,집행,13,13
2021-03-21,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2021-03-23,한라 메자닌 11호,사모벤처,KRW,집행,12,12
2021-03-27,남산 오피스 8호,부동산,EUR,집행,8,0.6
2021-03-27,판교 코어플러스 6호,부동산,KRW,집행,5,5
2021-04-06,백두 벤처 10호,사모벤처,KRW,집행,26,26
2021-04-07,남산 오피스 4호,부동산,KRW,집행,8,8
2021-04-08,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2021-04-08,동해 신재생 4호,인프라,USD,집행,9,0.7
2021-04-08,한강 그로스 7호,사모벤처,KRW,집행,26,26
2021-04-09,남산 오피스 8호,부동산,EUR,집행,7,0.5
2021-04-12,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2021-04-13,태백 세컨더리 2호,사모벤처,KRW,집행,8,8
2021-04-14,태백 세컨더리 9호,사모벤처,KRW,집행,14,14
2021-04-15,설악 바이아웃 8호,사모벤처,EUR,집행,6,0.4
2021-04-18,송도 리츠 7호,부동산,KRW,집행,18,18
2021-04-22,영남 교통 2호,인프라,USD,집행,10,0.8
2021-04-23,송도 리츠 3호,부동산,KRW,집행,10,10
2021-04-23,영남 교통 6호,인프라,USD,집행,19,1.4
2021-04-24,지리 미드캡 12호,사모벤처,USD,약정,360,27.1
2021-04-24,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2021-05-06,백두 벤처 10호,사모벤처,KRW,집행,9,9
2021-05-11,판교 코어플러스 10호,부동산,KRW,약정,290,290
2021-05-12,태백 세컨더리 9호,사모벤처,KRW,집행,11,11
2021-05-13,해운대 물류 9호,부동산,KRW,집행,17,17
2021-05-14,태백 세컨더리 2호,사모벤처,KRW,분배,7,7
2021-05-14,한라 메자닌 11호,사모벤처,KRW,집행,12,12
2021-05-17,지리 미드캡 12호,사모벤처,USD,집행,7,0.5
2021-05-19,남산 오피스 8호,부동산,EUR,집행,6,0.4
2021-05-19,판교 코어플러스 6호,부동산,KRW,집행,5,5
2021-05-22,호남 데이터센터 3호,인프라,USD,집행,5,0.4
2021-05-23,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2021-05-23,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,8,8
2021-05-24,오대 스페셜시츄에이션 13호,사모벤처,USD,약정,300,22.3
2021-05-24,영남 교통 6호,인프라,USD,집행,5,0.4
2021-05-26,설악 바이아웃 8호,사모벤처,EUR,집행,7,0.5
2021-05-27,한강 그로스 7호,사모벤처,KRW,집행,10,10
2021-05-27,한라 메자닌 4호,사모벤처,USD,집행,14,1.0
2021-06-08,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2021-06-14,지리 미드캡 12호,사모벤처,USD,집행,10,0.8
2021-06-15,한라 메자닌 4호,사모벤처,USD,집행,5,0.4
2021-06-20,태백 세컨더리 9호,사모벤처,KRW,집행,9,9
2021-06-24,송도 리츠 3호,부동산,KRW,분배,3,3
2021-06-24,영남 교통 6호,인프라,USD,집행,5,0.4
2021-06-27,백두 벤처 3호,사모벤처,KRW,집행,16,16
2021-07-03,영남 교통 2호,인프라,USD,집행,6,0.5
2021-07-04,남산 오피스 8호,부동산,EUR,집행,10,0.7
2021-07-09,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,15,1.1
2021-07-10,동해 신재생 8호,인프라,KRW,약정,140,140
2021-07-10,백두 벤처 3호,사모벤처,KRW,집행,5,5
2021-07-10,한라 메자닌 11호,사모벤처,KRW,집행,10,10
2021-07-13,백두 벤처 10호,사모벤처,KRW,집행,22,22
2021-07-15,태백 세컨더리 9호,사모벤처,KRW,집행,9,9
2021-07-16,호남 데이터센터 7호,인프라,USD,집행,8,0.6
2021-07-18,지리 미드캡 12호,사모벤처,USD,집행,10,0.8
2021-07-19,해운대 물류 1호,부동산,KRW,분배,3,3
2021-07-20,판교 코어플러스 6호,부동산,KRW,집행,5,5
2021-07-21,영남 교통 2호,인프라,USD,분배,3,0.2
2021-07-21,동해 신재생 4호,인프라,USD,집행,8,0.6
2021-07-21,지리 미드캡 5호,사모벤처,KRW,집행,12,12
2021-07-22,한라 메자닌 4호,사모벤처,USD,분배,4,0.3
2021-07-23,서해 에너지 5호,인프라,USD,집행,7,0.5
2021-08-04,서해 에너지 1호,인프라,EUR,집행,8,0.6
2021-08-04,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2021-08-06,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,8,8
2021-08-06,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2021-08-06,한라 메자닌 4호,사모벤처,USD,집행,8,0.6
2021-08-08,백두 벤처 3호,사모벤처,KRW,분배,12,12
2021-08-09,백두 벤처 10호,사모벤처,KRW,집행,13,13
2021-08-11,설악 바이아웃 8호,사모벤처,EUR,집행,17,1.3
2021-08-13,해운대 물류 9호,부동산,KRW,집행,34,34
2021-08-14,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,7,0.5
2021-08-16,해운대 물류 5호,부동산,KRW,집행,7,7
2021-08-17,서해 에너지 9호,인프라,KRW,약정,180,180
2021-08-17,호남 데이터센터 7호,인프라,USD,집행,5,0.4
2021-08-21,오대 스페셜시츄에이션 6호,사모벤처,KRW,분배,6,6
2021-08-24,영남 교통 2호,인프라,USD,분배,3,0.2
2021-08-24,백두 벤처 3호,사모벤처,KRW,집행,5,5
2021-08-25,해운대 물류 1호,부동산,KRW,분배,4,4
2021-08-25,한라 메자닌 11호,사모벤처,KRW,집행,10,10
2021-08-27,지리 미드캡 12호,사모벤처,USD,집행,10,0.8
2021-09-04,남산 오피스 8호,부동산,EUR,집행,11,0.8
2021-09-04,호남 데이터센터 7호,인프라,USD,집행,5,0.4
2021-09-07,백두 벤처 3호,사모벤처,KRW,분배,11,11
2021-09-08,한라 메자닌 11호,사모벤처,KRW,집행,10,10
2021-09-09,송도 리츠 3호,부동산,KRW,분배,3,3
2021-09-12,한강 그로스 14호,사모벤처,USD,약정,210,16.1
2021-09-16,해운대 물류 9호,부동산,KRW,집행,8,8
2021-09-18,송도 리츠 7호,부동산,KRW,집행,11,11
2021-09-21,설악 바이아웃 8호,사모벤처,EUR,집행,5,0.4
2021-09-22,지리 미드캡 12호,사모벤처,USD,집행,11,0.8
2021-09-23,백두 벤처 10호,사모벤처,KRW,집행,14,14
2021-09-25,태백 세컨더리 9호,사모벤처,KRW,집행,10,10
2021-09-26,영남 교통 6호,인프라,USD,집행,8,0.6
2021-10-03,한강 그로스 7호,사모벤처,KRW,집행,26,26
2021-10-06,지리 미드캡 5호,사모벤처,KRW,분배,6,6
2021-10-07,해운대 물류 9호,부동산,KRW,집행,8,8
2021-10-09,송도 리츠 3호,부동산,KRW,분배,3,3
2021-10-09,판교 코어플러스 10호,부동산,KRW,집행,76,76
2021-10-12,서해 에너지 9호,인프라,KRW,집행,5,5
2021-10-13,백두 벤처 3호,사모벤처,KRW,분배,9,9
2021-10-14,지리 미드캡 12호,사모벤처,USD,집행,7,0.5
2021-10-14,한라 메자닌 11호,사모벤처,KRW,집행,10,10
2021-10-20,설악 바이아웃 1호,사모벤처,USD,분배,3,0.2
2021-10-20,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,15,1.2
2021-10-22,서해 에너지 1호,인프라,EUR,분배,4,0.3
2021-10-23,호남 데이터센터 7호,인프라,USD,집행,5,0.4
2021-11-04,동해 신재생 8호,인프라,KRW,집행,8,8
2021-11-04,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,13,13
2021-11-08,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,8,0.6
2021-11-11,한강 그로스 7호,사모벤처,KRW,집행,7,7
2021-11-12,설악 바이아웃 1호,사모벤처,USD,분배,3,0.2
2021-11-12,한강 그로스 7호,사모벤처,KRW,분배,6,6
2021-11-14,지리 미드캡 12호,사모벤처,USD,집행,8,0.6
2021-11-16,영남 교통 6호,인프라,USD,집행,5,0.4
2021-11-18,남산 오피스 8호,부동산,EUR,집행,10,0.8
2021-11-19,설악 바이아웃 15호,사모벤처,USD,약정,210,16.1
2021-11-19,영남 교통 2호,인프라,USD,집행,11,0.8
2021-11-20,해운대 물류 9호,부동산,KRW,집행,14,14
2021-11-21,백두 벤처 3호,사모벤처,KRW,집행,8,8
2021-11-23,한라 메자닌 4호,사모벤처,USD,분배,4,0.3
2021-11-23,판교 코어플러스 10호,부동산,KRW,집행,14,14
2021-11-25,백두 벤처 10호,사모벤처,KRW,집행,21,21
